matrix_id,company_code,company_name,theme_code,theme,specific_action,summary,time_reference,evidence_source,validation_level,related_kpi_or_number,status,notes
M051,Nestle,Nestlé,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M052,Nestle,Nestlé,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M053,Nestle,Nestlé,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M054,Nestle,Nestlé,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M055,Reckitt,Reckitt,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M056,Reckitt,Reckitt,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M057,Reckitt,Reckitt,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M058,Reckitt,Reckitt,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M059,Reckitt,Reckitt,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M060,Reckitt,Reckitt,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M061,Teva,Teva,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M062,Teva,Teva,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M063,Teva,Teva,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M064,Teva,Teva,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M065,Teva,Teva,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M066,Teva,Teva,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M067,Sanofi,Sanofi,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M068,Sanofi,Sanofi,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M069,Sanofi,Sanofi,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M070,Sanofi,Sanofi,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M071,Sanofi,Sanofi,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M072,Sanofi,Sanofi,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M073,Novartis,Novartis,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M074,Novartis,Novartis,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M075,Novartis,Novartis,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M076,Novartis,Novartis,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M077,Novartis,Novartis,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M078,Novartis,Novartis,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M079,Sandoz,Sandoz,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M080,Sandoz,Sandoz,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M081,Sandoz,Sandoz,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M082,Sandoz,Sandoz,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M083,Sandoz,Sandoz,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M084,Sandoz,Sandoz,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M085,EdwardsLifesciences,Edwards Lifesciences,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M086,EdwardsLifesciences,Edwards Lifesciences,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M087,EdwardsLifesciences,Edwards Lifesciences,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M088,EdwardsLifesciences,Edwards Lifesciences,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M089,EdwardsLifesciences,Edwards Lifesciences,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M090,EdwardsLifesciences,Edwards Lifesciences,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M091,BostonScientific,Boston Scientific,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M092,BostonScientific,Boston Scientific,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M093,BostonScientific,Boston Scientific,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M094,BostonScientific,Boston Scientific,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M095,BostonScientific,Boston Scientific,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M096,BostonScientific,Boston Scientific,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M097,Medtronic,Medtronic,AI_AUTOMATION,AI / automation deployment,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M098,Medtronic,Medtronic,PRODUCTIVITY_COST,Productivity / cost-out narrative,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M099,Medtronic,Medtronic,OPERATING_MODEL,Operating model / org redesign,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M100,Medtronic,Medtronic,TALENT_CAPABILITY,Talent / capability building,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M101,Medtronic,Medtronic,CAPITAL_ALLOCATION,Capital allocation / ROI logic,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
M102,Medtronic,Medtronic,RISK_GOVERNANCE,Risk / governance / controls,Source URLs queued; crawl blocked by environment in this run.,No content-level evidence extracted yet due to network fetch failures.,2026-03-09,00_master/source_log.csv (crawl_failed_environment_limit),unverified,N/A,pending,Re-run in network-enabled context to extract direct official evidence.
